geopy location,coordinates

"Cummington, Hampshire County, Massachusetts, 01026, United States","(42.4620577, -72.9145734)"
"Barre, Worcester County, Massachusetts, United States","(42.4203295, -72.106275)"
"North Hills, Los Angeles, Los Angeles County, California, United States","(34.2429575, -118.4854081)"
"Washingtonville, Town of Blooming Grove, Orange County, New York, United States","(41.4278716, -74.1659798)"
"Belchertown, Hampshire County, Massachusetts, 01007, United States","(42.2846395, -72.399595)"
"Phoenix, Maricopa County, Arizona, 85004-1905, United States","(33.4484367, -112.0741417)"
"Buckeye, Maricopa County, Arizona, United States","(33.3703197, -112.583776)"
"San Antonio, Bexar County, Texas, 78205, United States","(29.4246002, -98.4951405)"
"West Hartford, Hartford County, Connecticut, United States","(41.7620447, -72.7420399)"
"Dewey, Prescott Valley, Yavapai County, Arizona, 86329, United States","(34.5300253, -112.2412739)"
"Prescott, Yavapai County, Arizona, United States","(34.5399962, -112.4687616)"
"Phoenix, Maricopa County, Arizona, 85004-1905, United States","(33.4484367, -112.0741417)"
"Phoenix, Maricopa County, Arizona, 85004-1905, United States","(33.4484367, -112.0741417)"
"Bisbee, Cochise County, Arizona, 85603, United States","(31.4481547, -109.928408)"
"Phoenix, Maricopa County, Arizona, 85004-1905, United States","(33.4484367, -112.0741417)"
"Scottsdale, Maricopa County, Arizona, United States","(33.4942189, -111.9260184)"
"Sedona, Coconino County, Arizona, United States","(34.8679599, -111.7617165)"
"Cave Creek, Maricopa County, Arizona, United States","(33.8333333, -111.9508333)"
"Scottsdale, Maricopa County, Arizona, United States","(33.4942189, -111.9260184)"
"Phoenix, Maricopa County, Arizona, 85004-1905, United States","(33.4484367, -112.0741417)"
"Morristown, Maricopa County, Arizona, United States","(33.8562535, -112.61451849802984)"
"Camp Verde, Yavapai County, Arizona, United States","(34.5636358, -111.854317)"
"Cave Creek, Maricopa County, Arizona, United States","(33.8333333, -111.9508333)"
"Litchfield Park, Maricopa County, Arizona, United States","(33.4933796, -112.3581244)"
"Sun City, Maricopa County, Arizona, 85363, United States","(33.6290111, -112.2819337)"
"Payson, Gila County, Arizona, 85072, United States","(34.2406479, -111.3230261)"
"Prescott, Yavapai County, Arizona, United States","(34.5399962, -112.4687616)"
