,city_state_country,geopy location,coordinates
0,"Goodyear, AZ, USA","Goodyear, Maricopa County, Arizona, 85395, United States","(33.4353672, -112.3576)"
1,"Buckeye, AZ, USA","Buckeye, Maricopa County, Arizona, United States","(33.3703197, -112.583776)"
2,"Scottsdale, AZ, USA","Scottsdale, Maricopa County, Arizona, United States","(33.4942189, -111.9260184)"
3,"Hereford, AZ, USA","Hereford, Cochise County, Arizona, United States","(31.4384325, -110.0978554)"
4,"Dewey, AZ, USA","Dewey, Dewey-Humboldt, Yavapai County, Arizona, 86329, United States","(34.5275895, -112.2420702)"
5,"Casa Grande, AZ, USA","Casa Grande, Pinal County, Arizona, 86122, United States","(32.8795022, -111.757352)"
6,"Phoenix, AZ, USA","Phoenix, Maricopa County, Arizona, 85004-1905, United States","(33.4484367, -112.0741417)"
7,"Camp Verde, AZ, USA","Camp Verde, Yavapai County, Arizona, United States","(34.5636358, -111.854317)"
8,"Prescott, AZ, USA","Prescott, Yavapai County, Arizona, United States","(34.5399962, -112.4687616)"
9,"Bisbee, AZ, USA","Bisbee, Cochise County, Arizona, 85603, United States","(31.4481547, -109.928408)"
10,"Sedona, AZ, USA","Sedona, Coconino County, Arizona, United States","(34.8679599, -111.7617165)"
11,"Cave Creek, AZ, USA","Cave Creek, Maricopa County, Arizona, United States","(33.8333333, -111.9508333)"
12,"Morristown, AZ, USA","Morristown, Maricopa County, Arizona, United States","(33.8562535, -112.61451849802984)"
13,"Litchfield Park, AZ, USA","Litchfield Park, Maricopa County, Arizona, United States","(33.4933796, -112.3581244)"
14,"Sun City, AZ, USA","Sun City, Maricopa County, Arizona, 85363, United States","(33.6290111, -112.2819337)"
15,"Payson, AZ, USA","Payson, Gila County, Arizona, 85072, United States","(34.2406479, -111.3230261)"
16,"Cornville, AZ, USA","Cornville, Yavapai County, Arizona, United States","(34.7395165, -111.9058275625)"
17,"Cottonwood, AZ, USA","Cottonwood, Yavapai County, Arizona, 86326, United States","(34.739489, -112.009793)"
18,"Tombstone, AZ, USA","Tombstone, Cochise County, Arizona, 85638, United States","(31.714229, -110.0652028)"
19,"Sun City West, AZ, USA","Sun City West, Surprise, Maricopa County, Arizona, 85375-4416, United States","(33.6657535, -112.35505216920794)"
20,"Chino Valley, AZ, USA","Chino Valley, Yavapai County, Arizona, 86323, United States","(34.78357, -112.43035972408359)"
21,"Rimrock, AZ, USA","Rimrock, Yavapai County, Arizona, 86342, United States","(34.6450394, -111.7848411)"
22,"Tempe, AZ, USA","Tempe, Maricopa County, Arizona, United States","(33.4255056, -111.9400091)"
23,"Young, AZ, USA","Young, Gila County, Arizona, 85554, United States","(34.106747, -110.94024227101073)"
24,"Peoria, AZ, USA","Peoria, Maricopa County, Arizona, 85345, United States","(33.5806115, -112.237294)"
25,"New River, AZ, USA","New River, Cave Creek, Maricopa County, Arizona, 85080, United States","(33.887139250000004, -112.08706829579333)"
26,"Tonopah, AZ, USA","Tonopah, Maricopa County, Arizona, United States","(33.488907499999996, -112.93028188114938)"
27,"Arizona City, AZ, USA","Arizona City, Pinal County, Arizona, United States","(32.748400000000004, -111.67590514853674)"
28,"Flagstaff, AZ, USA","Flagstaff, Coconino County, Arizona, 86001, United States","(35.1987522, -111.6518229)"
29,"Yuma, AZ, USA","Yuma, Yuma County, Arizona, United States","(32.665135, -114.47603157249804)"
30,"Paradise Valley, AZ, USA","Paradise Valley, Maricopa County, Arizona, 85253, United States","(33.5428006, -111.9556001)"
31,"Snowflake, AZ, USA","Snowflake, Navajo County, Arizona, United States","(34.524746, -110.10033836918288)"
32,"Taylor, AZ, USA","Taylor, Navajo County, Arizona, United States","(34.4647338, -110.0916551)"
33,"Black Canyon City, AZ, USA","Black Canyon City, Yavapai County, Arizona, 85324, United States","(34.0708665, -112.1507149)"
34,"Clarkdale, AZ, USA","Clarkdale, Yavapai County, Arizona, 86324, United States","(34.7711319, -112.0579367)"
35,"Gilbert, AZ, USA","Gilbert, Maricopa County, Arizona, 85269, United States","(33.3527632, -111.7890373)"
36,"Florence, AZ, USA","Florence, Pinal County, Arizona, United States","(33.059919, -111.43038216330561)"
37,"Avondale, AZ, USA","Avondale, Maricopa County, Arizona, 85323, United States","(33.4355977, -112.349602)"
38,"Surprise, AZ, USA","Surprise, Maricopa County, Arizona, 85374, United States","(33.6292271, -112.3680189)"
39,"Glendale, AZ, USA","Glendale, Maricopa County, Arizona, 85301, United States","(33.5386858, -112.1859941)"
40,"Williams, AZ, USA","Williams, Coconino County, Arizona, United States","(35.255674, -112.16397206870826)"
41,"Waddell, AZ, USA","Waddell, Maricopa County, Arizona, 85388, United States","(33.6114269, -112.4271084)"
42,"Wittmann, AZ, USA","Wittmann, Maricopa County, Arizona, United States","(33.7733775, -112.52701830095228)"
43,"Happy Jack, AZ, USA","Happy Jack, Coconino County, Arizona, United States","(34.7428521, -111.4093051)"
44,"Winslow, AZ, USA","Winslow, Navajo County, Arizona, United States","(35.0241874, -110.6973572)"
45,"Wickenburg, AZ, USA","Wickenburg, Maricopa County, Arizona, United States","(33.9680962, -112.7301353)"
46,"Prescott Valley, AZ, USA","Prescott Valley, Yavapai County, Arizona, United States","(34.6100243, -112.315721)"
47,"Parker, AZ, USA","Parker, La Paz County, Arizona, United States","(34.1498408, -114.28896)"
48,"Quartzsite, AZ, USA","Quartzsite, La Paz County, Arizona, United States","(33.6639137, -114.2299486)"
49,"Sierra Vista, AZ, USA","Sierra Vista, Cochise County, Arizona, United States","(31.5545973, -110.2997756)"
50,"Kirkland, AZ, USA","Kirkland, Yavapai County, Arizona, United States","(34.4175251, -112.7121218)"
51,"Show Low, AZ, USA","Show Low, Navajo County, Arizona, 85901, United States","(34.2542084, -110.029832)"
52,"Parks, AZ, USA","Parks, Coconino County, Arizona, 86018, United States","(35.260615, -111.9485469)"
53,"Somerton, AZ, USA","Somerton, Yuma County, Arizona, 85350, United States","(32.5964404, -114.709677)"
54,"Carefree, AZ, USA","Carefree, Maricopa County, Arizona, United States","(33.8222611, -111.918203)"
55,"El Mirage, AZ, USA","El Mirage, Maricopa County, Arizona, 85335, United States","(33.6130338, -112.3244866)"
56,"Douglas, AZ, USA","Douglas, Cochise County, Arizona, 85607, United States","(31.3471741, -109.5383567)"
57,"Yarnell, AZ, USA","Yarnell, Yavapai County, Arizona, United States","(34.23064035, -112.7496471322566)"
58,"Superior, AZ, USA","Superior, Pinal County, Arizona, United States","(33.293945, -111.0962305)"
59,"Eloy, AZ, USA","Eloy, Pinal County, Arizona, 85131, United States","(32.7551703, -111.5534932)"
60,"Mayer, AZ, USA","Mayer, Yavapai County, Arizona, United States","(34.426387500000004, -112.23672324270557)"
61,"Ash Fork, AZ, USA","Ash Fork, Yavapai County, Arizona, 86320, United States","(35.216333, -112.49138580381911)"
62,"Paulden, AZ, USA","Paulden, Yavapai County, Arizona, United States","(34.879892999999996, -112.47709873575306)"
63,"Salome, AZ, USA","Salome, La Paz County, Arizona, United States","(33.778407, -113.60405480156254)"
64,"Ajo, AZ, USA","Ajo, Pima County, Arizona, 85321, United States","(32.3933515, -112.90272302970297)"
65,"Dateland, AZ, USA","Dateland, Yuma County, Arizona, United States","(32.7964368, -113.5411489)"
66,"San Manuel, AZ, USA","San Manuel, Pinal County, Arizona, 85631, United States","(32.6184145, -110.64814883629302)"
67,"Skull Valley, AZ, USA","Skull Valley, Yavapai County, Arizona, 86338, United States","(34.5053024, -112.6854541)"
68,"Ehrenberg, AZ, USA","Ehrenberg, La Paz County, Arizona, 85334, United States","(33.616226999999995, -114.47891646902286)"
69,"Seligman, AZ, USA","Selingman, Yavapai County, Arizona, 86337, United States","(35.3268815, -112.8763077)"
70,"Congress, AZ, USA","Congress, Maricopa County, Arizona, United States","(34.153848499999995, -112.85491907497467)"
71,"Youngtown, AZ, USA","Youngtown, Maricopa County, Arizona, 85363, United States","(33.5937302, -112.3033265)"
72,"Chandler, AZ, USA","Chandler, Maricopa County, Arizona, 85225-7872, United States","(33.3061605, -111.84125)"
73,"Globe, AZ, USA","Globe, Gila County, Arizona, 85501, United States","(33.3959623, -110.787134)"
74,"Pine, AZ, USA","Pine, Gila County, Arizona, 85544, United States","(34.386514000000005, -111.4551432831453)"
75,"Desert Hills, AZ, USA","Desert Hills, Mohave County, Arizona, United States","(34.5546255, -114.37479084599786)"
76,"Wittman, AZ, USA","Wittman Plaza, Glendale, Maricopa County, Arizona, United States","(33.5238337, -112.23809214151281)"
77,"Tonto Basin, AZ, USA","Tonto Basin, Gila County, Arizona, 85553, United States","(33.840994499999994, -111.30031965582725)"
78,"Gila Bend, AZ, USA","Gila Bend, Maricopa County, Arizona, United States","(32.9478267, -112.7168239)"
79,"-1, AZ, USA","1, Yavapai County, Arizona, United States","(34.82989945, -111.89601769693877)"
80,"Bagdad, AZ, USA","Bagdad, Yavapai County, Arizona, 86321, United States","(34.57774, -113.17428445757577)"
81,"Red Rock, AZ, USA","Red Rock / Tsé Łichííʼ Dah Azkání, Apache County, Arizona, 86544, United States","(36.6044451, -109.060653)"
82,"Joseph City, AZ, USA","Joseph City, Navajo County, Arizona, United States","(34.9558585, -110.3339982)"
83,"Forest Lakes, AZ, USA","Forest Lakes, Coconino County, Arizona, United States","(34.34438285, -110.82314153839765)"
84,"Holbrook, AZ, USA","Holbrook, Navajo County, Arizona, United States","(34.9037063, -110.159316)"
85,"Bouse, AZ, USA","Bouse, La Paz County, Arizona, United States","(33.9325235, -114.0057748)"
86,"Peeples Valley, AZ, USA","Peeples Valley, Yavapai County, Arizona, 86332, United States","(34.2734445, -112.76798898878505)"
87,"Cordes Lakes, AZ, USA","Cordes Lakes, Yavapai County, Arizona, United States","(34.308957500000005, -112.1086067691474)"
88,"Aguila, AZ, USA","Aguila, Maricopa County, Arizona, 85320, United States","(33.939258, -113.16563136721928)"
89,"Strawberry, AZ, USA","Strawberry, Gila County, Arizona, United States","(34.4014435, -111.50706234594041)"
90,"Coolidge, AZ, USA","Coolidge, Pinal County, Arizona, 85128, United States","(32.977839, -111.517624)"
91,"Anthem, AZ, USA","Anthem, Maricopa County, Arizona, United States","(33.857492, -112.11359410473517)"
92,"Miami, AZ, USA","Miami, Gila County, Arizona, 85539, United States","(33.3994776, -110.87095)"
93,"Valley Farms, AZ, USA","Valley Farms, Pinal County, Arizona, 85191, United States","(32.9883955, -111.447344)"
94,"Grand Canyon, AZ, USA","Grand Canyon, Coconino County, Arizona, United States","(36.0965604, -112.0984941)"
95,"Naco, AZ, USA","Naco, Cochise County, Arizona, 85620, United States","(31.342529, -109.93635567470514)"
96,"Jerome, AZ, USA","Jerome, Yavapai County, Arizona, 86331, United States","(34.7471253, -112.10712645033253)"
97,"San Luis, AZ, USA","San Luis, Yuma County, Arizona, United States","(32.4934395, -114.7737551)"
98,"Arlington, AZ, USA","Arlington, Maricopa County, Arizona, United States","(33.3355685, -112.77438211284098)"
99,"Bellemont, AZ, USA","Bellemont, Coconino County, Arizona, 86051, United States","(35.2380657, -111.8334974)"
100,"Munds Park, AZ, USA","Munds Park, Coconino County, Arizona, 86017, United States","(34.945574, -111.6401551)"
101,"Tuba City, AZ, USA","Tuba City, Coconino County, Arizona, 86045, United States","(36.123307, -111.24218755955015)"
102,"Gadsden, AZ, USA","Gadsden, Yuma County, Arizona, United States","(32.5561275, -114.78072489613432)"
103,"Maricopa, AZ, USA","Maricopa County, Arizona, United States","(33.34883, -112.49123)"
104,"Second Mesa, AZ, USA","Second Mesa, Navajo County, Arizona, 86043, United States","(35.834238049999996, -110.50142536730436)"
105,"Suprise, AZ, USA",,
106,"Hotevilla, AZ, USA","Hotevilla / Hotvela, Navajo County, Arizona, United States","(35.9275987, -110.671333)"
107,"Lake Montezuma, AZ, USA","Lake Montezuma, Rimrock, Yavapai County, Arizona, United States","(34.6426115, -111.79130678729283)"
108,"Gooyear, AZ, USA","Gooyear Recreation Campus, Goodyear, Maricopa County, Arizona, 85338, United States","(33.440115250000005, -112.3951371703088)"
109,"Surpise, AZ, USA",,
110,"Peroria, AZ, USA",,
111,"Humboldt, AZ, USA","Humboldt, Dewey-Humboldt, Yavapai County, Arizona, 86329, United States","(34.5009866, -112.2392022)"
112,"Camp Verde,Az, AZ, USA","Camp Verde, Yavapai County, Arizona, United States","(34.5636358, -111.854317)"
113,"Cordes Lake, AZ, USA",,
114,"Suncity West, AZ, USA",,
115,"Dewey-Humboldt, AZ, USA","Dewey-Humboldt, Yavapai County, Arizona, 86329, United States","(34.513844500000005, -112.25601135833293)"
116,"Goodyear, Az., AZ, USA","Goodyear, Maricopa County, Arizona, 85395, United States","(33.4353672, -112.3576)"
117,"Whitman, AZ, USA","Wittmann, Maricopa County, Arizona, 85361, United States","(33.7782918, -112.5297624)"
118,"Litchfieldpark, AZ, USA",,
119,"Star Valley, AZ, USA","Star Valley, Gila County, Arizona, United States","(34.261223, -111.23836180266304)"
120,"Winkleman, AZ, USA","Old Winkleman Road, Gila County, Arizona, United States","(33.3321885, -110.7093297)"
121,"Peoria, Az, AZ, USA","Peoria, Maricopa County, Arizona, 85345, United States","(33.5806115, -112.237294)"
122,"Showlow, AZ, USA","Holiday Inn Express Showlow, West Deuce of Clubs, Show Low, Navajo County, Arizona, 85901, United States","(34.2491663, -110.044115)"
123,"Spring Valley, AZ, USA","Spring Valley, Yavapai County, Arizona, United States","(34.350291999999996, -112.15076984118615)"
124,"Chino, AZ, USA","Chino Valley, Yavapai County, Arizona, 86323, United States","(34.78357, -112.43035972408359)"
125,"Pirtville, AZ, USA",,
126,"Dewey, Az, AZ, USA","Dewey, Dewey-Humboldt, Yavapai County, Arizona, 86329, United States","(34.5275895, -112.2420702)"
127,"Palo Verde, AZ, USA","Palo Verde, Maricopa County, Arizona, 85343, United States","(33.3487145, -112.6774657)"
128,"Las Brisas, AZ, USA","Las Brisas, Chandler, Maricopa County, Arizona, United States","(33.28140165, -111.86114096479645)"
129,"Tempe Az., AZ, USA","Tempe, Maricopa County, Arizona, United States","(33.4255056, -111.9400091)"
130,"Sun City West, Az, AZ, USA","Sun City West, Surprise, Maricopa County, Arizona, 85375-4416, United States","(33.6657535, -112.35505216920794)"
131,"Phoenix Az, AZ, USA","Phoenix, Maricopa County, Arizona, 85004-1905, United States","(33.4484367, -112.0741417)"
132,"Black Canyon, AZ, USA","Black Canyon, Cottonwood, Yavapai County, Arizona, 86316, United States","(34.6592415, -112.0521548)"
133,"Hayden, AZ, USA","Hayden, Gila County, Arizona, United States","(32.998027, -110.78085681694215)"
134,"Wahweap - Seligman, AZ, USA",,
135,"Blackcanyon Ci, AZ, USA",,
136,"Black Canyon Ci, AZ, USA",,
137,"Claypool, AZ, USA","Claypool, Gila County, Arizona, United States","(33.4064295, -110.84306778166666)"
138,"Park, AZ, USA","Park, Cochise County, Arizona, United States","(31.355448, -110.3982805)"
139,"Pheonix, AZ, USA",,
140,"Sun City West,, AZ, USA","Sun City West, Surprise, Maricopa County, Arizona, 85375-4416, United States","(33.6657535, -112.35505216920794)"
141,"Arizona, AZ, USA","Japanese Friendship Garden, North 3rd Avenue, Phoenix, Maricopa County, Arizona, 85004-1873, United States","(33.461066599999995, -112.0765637203252)"
142,"Prescott Valey, AZ, USA",,
143,"Blackcanyoncity, AZ, USA",,
144,"Schottsdale, AZ, USA",,
145,"Phx., AZ, USA","Phoenix Sky Harbor International Airport, B16 Jetway, Phoenix, Maricopa County, Arizona, 85008, United States","(33.43289075, -112.00942230268426)"
146,"Kearny, AZ, USA","Kearny, Pinal County, Arizona, 85237, United States","(33.0570085, -110.9106656)"
147,"Blk Canyon City, AZ, USA","North Echo Canyon Lane, Block 3, Phoenix, Maricopa County, Arizona, 85018, United States","(33.5227229, -111.977082)"
148,"Benson, AZ, USA","Benson, Cochise County, Arizona, United States","(31.9678611, -110.2945174)"
149,"Phx, AZ, USA","Phoenix Sky Harbor International Airport, B16 Jetway, Phoenix, Maricopa County, Arizona, 85008, United States","(33.43289075, -112.00942230268426)"
150,"Yucca, AZ, USA","Yucca, Mohave County, Arizona, United States","(34.8726671, -114.1498589)"
151,"Littlefield, AZ, USA","Littlefield, Beaver Dam, Mohave County, Arizona, 86432, United States","(36.8871992, -113.9296876)"
152,"Blk Canyon Cty, AZ, USA","North Echo Canyon Lane, Block 3, Phoenix, Maricopa County, Arizona, 85018, United States","(33.5227229, -111.977082)"
153,"Kearney, AZ, USA","Kearney Trail, Yavapai County, Arizona, 86342, United States","(34.613193, -111.7898585)"
154,"Precott, AZ, USA",,
155,"Williams, Az, AZ, USA","Williams, Coconino County, Arizona, United States","(35.255674, -112.16397206870826)"
156,"Cornvile, AZ, USA",,
157,"Litchfield, AZ, USA","Litchfield, Goodyear, Maricopa County, Arizona, 85338, United States","(33.4268077, -112.3552894)"
158,"Wenden, AZ, USA","Wenden, La Paz County, Arizona, United States","(33.8335125, -113.54583100857519)"
159,"Scottdale, AZ, USA",,
160,"Prescott - Misc Towns, AZ, USA",,
161,"Littlefield Park, AZ, USA",,
162,"Dewey Humboldt, AZ, USA","Dewey-Humboldt, Yavapai County, Arizona, 86329, United States","(34.513844500000005, -112.25601135833293)"
163,"San Luis Az, AZ, USA","San Luis, Yuma County, Arizona, United States","(32.4934395, -114.7737551)"
164,"Goodyear, Az, AZ, USA","Goodyear, Maricopa County, Arizona, 85395, United States","(33.4353672, -112.3576)"
165,"Peoria,, AZ, USA","USA Gasoline, 9080, West Olive Avenue, Westgreen Estates, Peoria, Maricopa County, Arizona, 85345-7050, United States","(33.566667800000005, -112.25461170330524)"
166,"Sun City, Az, AZ, USA","Sun City, Maricopa County, Arizona, 85363, United States","(33.6290111, -112.2819337)"
167,"Safford, AZ, USA","Safford, Graham County, Arizona, 85548, United States","(32.8339546, -109.70758)"
168,"Carefree,, AZ, USA","Pizzicata USA, East Ho Road, Spanish Village, Carefree, Maricopa County, Arizona, 85377, United States","(33.8260062, -111.9235598)"
169,"Whittmann, AZ, USA",,
170,"Phoenix, Az, AZ, USA","Phoenix, Maricopa County, Arizona, 85004-1905, United States","(33.4484367, -112.0741417)"
171,"Scottsdale, Az, AZ, USA","Scottsdale, Maricopa County, Arizona, United States","(33.4942189, -111.9260184)"
172,"Sun City Az, AZ, USA","Sun City, Maricopa County, Arizona, 85363, United States","(33.6290111, -112.2819337)"
173,"Dewey-Humbolt, AZ, USA",,
174,"San  Luis Az, AZ, USA","San Luis, Yuma County, Arizona, United States","(32.4934395, -114.7737551)"
175,"Rim Rock, AZ, USA","Rim Rock, Coconino County, Arizona, United States","(35.4130576, -112.7751807)"
176,"Surprise, Az, AZ, USA","Surprise, Maricopa County, Arizona, 85374, United States","(33.6292271, -112.3680189)"
177,"Wickenberg, AZ, USA","Wickenberg Plant #10, Maricopa County, Arizona, United States","(33.889971149999994, -112.65702775480116)"
178,"Winkelman, AZ, USA","Winkelman, Gila County, Arizona, United States","(32.9875659, -110.7709387)"
179,"Surprise Arizon, AZ, USA",,
180,"Casa Grande, Az, AZ, USA","Casa Grande, Pinal County, Arizona, 86122, United States","(32.8795022, -111.757352)"
181,"Lake Havasu City, AZ, USA","Lake Havasu City, Mohave County, Arizona, 86403, United States","(34.4838502, -114.3224495)"
182,"Sedona`, AZ, USA","Sedona, Coconino County, Arizona, United States","(34.8679599, -111.7617165)"
183,"Coolige, AZ, USA",,
184,"Tayor, AZ, USA","Tayor Hall, Tormey Drive, Flagstaff Normal Addition, Flagstaff, Coconino County, Arizona, 86001, United States","(35.192280800000006, -111.65509620464115)"
185,"Picacho, AZ, USA","Picacho, Pinal County, Arizona, 85231, United States","(32.716176, -111.4953971)"
186,"Cibola, AZ, USA","Cibola, La Paz County, Arizona, United States","(33.3758167, -114.6659991)"
187,"White Mountain, AZ, USA","White Mountain, Gila County, Arizona, United States","(34.2703111, -111.402916)"
188,"Chine Valley, AZ, USA",,
189,"Bullhead City, AZ, USA","Bullhead City, Mohave County, Arizona, 89029, United States","(35.1477774, -114.5682983)"
190,"Yuma Mesa, AZ, USA","Yuma Mesa, Yuma, Yuma County, Arizona, 85365-1213, United States","(32.6659514, -114.5593505)"
191,"Black Canyon Ct, AZ, USA","Black Canyon Court, Canada Hills - Village, Oro Valley, Pima County, Arizona, 85737, United States","(32.4056826, -111.0058886)"
192,"Az, AZ, USA","41883 E. Torbalita Trail, Marana, AZ, Pinal County, Arizona, United States","(32.54108225, -111.12036381614175)"
193,"Whittman, AZ, USA",,
194,"Arizona City,Az, AZ, USA","Arizona City, Pinal County, Arizona, United States","(32.748400000000004, -111.67590514853674)"
195,"Goodyear,, AZ, USA","Goodyear, Maricopa County, Arizona, 85395, United States","(33.4353672, -112.3576)"
196,"Morristown, Az, AZ, USA","Morristown, Maricopa County, Arizona, United States","(33.8562535, -112.61451849802984)"
197,"Perioa, AZ, USA",,
198,"Carefree, Az, AZ, USA","Carefree, Maricopa County, Arizona, United States","(33.8222611, -111.918203)"
199,"Arivaca, AZ, USA","Arivaca, Pima County, Arizona, 85601, United States","(31.5769832, -111.3306751)"
200,"Maricopa County, AZ, USA","Maricopa County, Arizona, United States","(33.34883, -112.49123)"
201,"Youngstown, AZ, USA",,
202,"San Carlos, AZ, USA","San Carlos, San Carlos / Sengaah, Gila County, Arizona, United States","(33.350750000000005, -110.46703014380023)"
203,"Su City, AZ, USA","SU, West Catalina Drive, Encanto, Phoenix, Maricopa County, Arizona, 85013-4224, United States","(33.48261035, -112.08800989868541)"
204,"Quartzite, AZ, USA","Quartzite Mountain, Graham County, Arizona, United States","(33.0514501, -110.3598155)"
205,"Pima, AZ, USA","Pima County, Arizona, United States","(32.1112624, -111.6546163)"
206,"Sedona, Az, AZ, USA","Sedona, Coconino County, Arizona, United States","(34.8679599, -111.7617165)"
207,"Pirtleville, AZ, USA","Pirtleville, Cochise County, Arizona, United States","(31.3612235, -109.56666055276185)"
208,"Petrified Forst Natl Pk, AZ, USA",,
209,"Whipple, AZ, USA","Whipple, Prescott, Yavapai County, Arizona, 86313, United States","(34.5566909, -112.4496132)"
210,"Petrified Forest Natl Pk, AZ, USA",,
211,"Northern Az Univ, AZ, USA","Northern Arizona VA Health Care System: Flagstaff CBOC, 1300, West University Avenue, Flagstaff, Coconino County, Arizona, 86001, United States","(35.1846438, -111.6722488)"
212,"Keams Canyon, AZ, USA","Keams Canyon, Keams Canyon / Pongsikya, Navajo County, Arizona, United States","(35.816717, -110.16223715908382)"
213,"Desert Hot Springs, AZ, USA",,
214,"Madison, CT, USA","Madison, New Haven County, Connecticut, 06443, United States","(41.2794282, -72.5983151)"
215,"Old Lyme, CT, USA","Old Lyme, New London County, Connecticut, United States","(41.3159315, -72.3289715)"
216,"Barkhamsted, CT, USA","Barkhamsted, Litchfield County, Connecticut, United States","(41.9292629, -72.9139904)"
217,"Milford, CT, USA","Milford, New Haven County, Connecticut, United States","(41.2222218, -73.0570603)"
218,"Westbrook, CT, USA","Westbrook, Middlesex County, Connecticut, 06498, United States","(41.285377, -72.4475874)"
219,"Washington Depot, CT, USA","Washington Depot, Washington, Litchfield County, Connecticut, 06792, United States","(41.6404914, -73.3190148)"
220,"Middlefield, CT, USA","Middlefield, Middlesex County, Connecticut, United States","(41.5165161, -72.7120793)"
221,"Wolcott, CT, USA","Wolcott, New Haven County, Connecticut, United States","(41.6023196, -72.9867718)"
222,"Middletown, CT, USA","Middletown, Middlesex County, Connecticut, United States","(41.5623178, -72.6509061)"
223,"Sherman, CT, USA","Sherman, Fairfield County, Connecticut, United States","(41.5792607, -73.4956795)"
224,"New Milford, CT, USA","New Milford, Litchfield County, Connecticut, United States","(41.5770993, -73.4105803)"
225,"Oxford, CT, USA","Oxford, New Haven County, Connecticut, United States","(41.4351795, -73.1172769)"
226,"Avon, CT, USA","Avon, Hartford County, Connecticut, United States","(41.8098209, -72.8306541)"
227,"Greenwich, CT, USA","Greenwich, Fairfield County, Connecticut, United States","(41.0264862, -73.6284598)"
228,"Ansonia, CT, USA","Ansonia, New Haven County, Connecticut, United States","(41.3429922, -73.0787468)"
229,"Columbia, CT, USA","Columbia, Tolland County, Connecticut, 06237, United States","(41.7020432, -72.3011917)"
230,"Eastford, CT, USA","Eastford, Windham County, Connecticut, United States","(41.902068, -72.0799095)"
231,"Fairfield, CT, USA","Fairfield, Fairfield County, Connecticut, United States","(41.1412078, -73.2637258)"
232,"Branford, CT, USA","Branford, New Haven County, Connecticut, United States","(41.2795414, -72.8150989)"
233,"Newtown, CT, USA","Newtown, Fairfield County, Connecticut, United States","(41.412387, -73.31153913634024)"
234,"Ridgefield, CT, USA","Ridgefield, Fairfield County, Connecticut, 06877, United States","(41.2814842, -73.4981792)"
235,"Danielson, CT, USA","Danielson, Killingly, Windham County, Connecticut, 06239, United States","(41.8025986, -71.8859054)"
236,"Bethlehem, CT, USA","Bethlehem, Litchfield County, Connecticut, 06751, United States","(41.6393626, -73.2080798)"
237,"EAST WINDSOR, CT, USA","East Windsor, Hartford County, Connecticut, United States","(41.9156316, -72.6130726)"
