geopy location,coordinates
"Goodyear, Maricopa County, Arizona, 85395, United States","(33.4353672, -112.3576)"
"Buckeye, Maricopa County, Arizona, United States","(33.3703197, -112.583776)"
"Scottsdale, Maricopa County, Arizona, United States","(33.4942189, -111.9260184)"
"Hereford, Cochise County, Arizona, United States","(31.4384325, -110.0978554)"
"Dewey, Dewey-Humboldt, Yavapai County, Arizona, 86329, United States","(34.5275895, -112.2420702)"
"Casa Grande, Pinal County, Arizona, 86122, United States","(32.8795022, -111.757352)"
"Phoenix, Maricopa County, Arizona, 85004-1905, United States","(33.4484367, -112.0741417)"
"Camp Verde, Yavapai County, Arizona, United States","(34.5636358, -111.854317)"
"Prescott, Yavapai County, Arizona, United States","(34.5399962, -112.4687616)"
"Bisbee, Cochise County, Arizona, 85603, United States","(31.4481547, -109.928408)"
"Sedona, Coconino County, Arizona, United States","(34.8679599, -111.7617165)"
"Cave Creek, Maricopa County, Arizona, United States","(33.8333333, -111.9508333)"
"Morristown, Maricopa County, Arizona, United States","(33.8562535, -112.61451849802984)"
"Litchfield Park, Maricopa County, Arizona, United States","(33.4933796, -112.3581244)"
"Sun City, Maricopa County, Arizona, 85363, United States","(33.6290111, -112.2819337)"
"Payson, Gila County, Arizona, 85072, United States","(34.2406479, -111.3230261)"
"Cornville, Yavapai County, Arizona, United States","(34.7395165, -111.9058275625)"
"Cottonwood, Yavapai County, Arizona, 86326, United States","(34.739489, -112.009793)"
"Tombstone, Cochise County, Arizona, 85638, United States","(31.714229, -110.0652028)"
"Sun City West, Surprise, Maricopa County, Arizona, 85375-4416, United States","(33.6657535, -112.35505216920794)"
"Chino Valley, Yavapai County, Arizona, 86323, United States","(34.78357, -112.43035972408359)"
"Rimrock, Yavapai County, Arizona, 86342, United States","(34.6450394, -111.7848411)"
"Tempe, Maricopa County, Arizona, United States","(33.4255056, -111.9400091)"
"Young, Gila County, Arizona, 85554, United States","(34.106747, -110.94024227101073)"
"Peoria, Maricopa County, Arizona, 85345, United States","(33.5806115, -112.237294)"
"New River, Cave Creek, Maricopa County, Arizona, 85080, United States","(33.887139250000004, -112.08706829579333)"
"Tonopah, Maricopa County, Arizona, United States","(33.488907499999996, -112.93028188114938)"
"Arizona City, Pinal County, Arizona, United States","(32.748400000000004, -111.67590514853674)"
"Flagstaff, Coconino County, Arizona, 86001, United States","(35.1987522, -111.6518229)"
"Yuma, Yuma County, Arizona, United States","(32.665135, -114.47603157249804)"
"Paradise Valley, Maricopa County, Arizona, 85253, United States","(33.5428006, -111.9556001)"
"Snowflake, Navajo County, Arizona, United States","(34.524746, -110.10033836918288)"
"Taylor, Navajo County, Arizona, United States","(34.4647338, -110.0916551)"
"Black Canyon City, Yavapai County, Arizona, 85324, United States","(34.0708665, -112.1507149)"
"Clarkdale, Yavapai County, Arizona, 86324, United States","(34.7711319, -112.0579367)"
"Gilbert, Maricopa County, Arizona, 85269, United States","(33.3527632, -111.7890373)"
"Florence, Pinal County, Arizona, United States","(33.059919, -111.43038216330561)"
"Avondale, Maricopa County, Arizona, 85323, United States","(33.4355977, -112.349602)"
"Surprise, Maricopa County, Arizona, 85374, United States","(33.6292271, -112.3680189)"
"Glendale, Maricopa County, Arizona, 85301, United States","(33.5386858, -112.1859941)"
"Williams, Coconino County, Arizona, United States","(35.255674, -112.16397206870826)"
"Waddell, Maricopa County, Arizona, 85388, United States","(33.6114269, -112.4271084)"
"Wittmann, Maricopa County, Arizona, United States","(33.7733775, -112.52701830095228)"
"Happy Jack, Coconino County, Arizona, United States","(34.7428521, -111.4093051)"
"Winslow, Navajo County, Arizona, United States","(35.0241874, -110.6973572)"
"Wickenburg, Maricopa County, Arizona, United States","(33.9680962, -112.7301353)"
"Prescott Valley, Yavapai County, Arizona, United States","(34.6100243, -112.315721)"
"Parker, La Paz County, Arizona, United States","(34.1498408, -114.28896)"
"Quartzsite, La Paz County, Arizona, United States","(33.6639137, -114.2299486)"
"Sierra Vista, Cochise County, Arizona, United States","(31.5545973, -110.2997756)"
"Kirkland, Yavapai County, Arizona, United States","(34.4175251, -112.7121218)"
