,city_state_country
0,"Goodyear, AZ, USA"
1,"Buckeye, AZ, USA"
2,"Scottsdale, AZ, USA"
3,"Hereford, AZ, USA"
4,"Dewey, AZ, USA"
5,"Casa Grande, AZ, USA"
6,"Phoenix, AZ, USA"
7,"Camp Verde, AZ, USA"
8,"Prescott, AZ, USA"
9,"Bisbee, AZ, USA"
10,"Sedona, AZ, USA"
11,"Cave Creek, AZ, USA"
12,"Morristown, AZ, USA"
13,"Litchfield Park, AZ, USA"
14,"Sun City, AZ, USA"
15,"Payson, AZ, USA"
16,"Cornville, AZ, USA"
17,"Cottonwood, AZ, USA"
18,"Tombstone, AZ, USA"
19,"Sun City West, AZ, USA"
20,"Chino Valley, AZ, USA"
21,"Rimrock, AZ, USA"
22,"Tempe, AZ, USA"
23,"Young, AZ, USA"
24,"Peoria, AZ, USA"
25,"New River, AZ, USA"
26,"Tonopah, AZ, USA"
27,"Arizona City, AZ, USA"
28,"Flagstaff, AZ, USA"
29,"Yuma, AZ, USA"
30,"Paradise Valley, AZ, USA"
31,"Snowflake, AZ, USA"
32,"Taylor, AZ, USA"
33,"Black Canyon City, AZ, USA"
34,"Clarkdale, AZ, USA"
35,"Gilbert, AZ, USA"
36,"Florence, AZ, USA"
37,"Avondale, AZ, USA"
38,"Surprise, AZ, USA"
39,"Glendale, AZ, USA"
40,"Williams, AZ, USA"
41,"Waddell, AZ, USA"
42,"Wittmann, AZ, USA"
43,"Happy Jack, AZ, USA"
44,"Winslow, AZ, USA"
45,"Wickenburg, AZ, USA"
46,"Prescott Valley, AZ, USA"
47,"Parker, AZ, USA"
48,"Quartzsite, AZ, USA"
49,"Sierra Vista, AZ, USA"
50,"Kirkland, AZ, USA"
51,"Show Low, AZ, USA"
52,"Parks, AZ, USA"
53,"Somerton, AZ, USA"
54,"Carefree, AZ, USA"
55,"El Mirage, AZ, USA"
56,"Douglas, AZ, USA"
57,"Yarnell, AZ, USA"
58,"Superior, AZ, USA"
59,"Eloy, AZ, USA"
60,"Mayer, AZ, USA"
61,"Ash Fork, AZ, USA"
62,"Paulden, AZ, USA"
63,"Salome, AZ, USA"
64,"Ajo, AZ, USA"
65,"Dateland, AZ, USA"
66,"San Manuel, AZ, USA"
67,"Skull Valley, AZ, USA"
68,"Ehrenberg, AZ, USA"
69,"Seligman, AZ, USA"
70,"Congress, AZ, USA"
71,"Youngtown, AZ, USA"
72,"Chandler, AZ, USA"
73,"Globe, AZ, USA"
74,"Pine, AZ, USA"
75,"Camp Verde, AZ, USA"
76,"Desert Hills, AZ, USA"
77,"Wittman, AZ, USA"
78,"Tonto Basin, AZ, USA"
79,"Gila Bend, AZ, USA"
80,"-1, AZ, USA"
81,"Bagdad, AZ, USA"
82,"Red Rock, AZ, USA"
83,"Joseph City, AZ, USA"
84,"Forest Lakes, AZ, USA"
85,"Holbrook, AZ, USA"
86,"Bouse, AZ, USA"
87,"Peeples Valley, AZ, USA"
88,"Cordes Lakes, AZ, USA"
89,"Aguila, AZ, USA"
90,"Strawberry, AZ, USA"
91,"Coolidge, AZ, USA"
92,"Anthem, AZ, USA"
93,"Miami, AZ, USA"
94,"Valley Farms, AZ, USA"
95,"Grand Canyon, AZ, USA"
96,"Naco, AZ, USA"
97,"Jerome, AZ, USA"
98,"San Luis, AZ, USA"
99,"Arlington, AZ, USA"
100,"Bellemont, AZ, USA"
101,"Munds Park, AZ, USA"
102,"Tuba City, AZ, USA"
103,"Gadsden, AZ, USA"
104,"Maricopa, AZ, USA"
105,"Second Mesa, AZ, USA"
106,"Suprise, AZ, USA"
107,"Hotevilla, AZ, USA"
108,"Lake Montezuma, AZ, USA"
109,"Gooyear, AZ, USA"
110,"Surpise, AZ, USA"
111,"Peroria, AZ, USA"
112,"Humboldt, AZ, USA"
113,"Camp Verde,Az, AZ, USA"
114,"Cordes Lake, AZ, USA"
115,"Suncity West, AZ, USA"
116,"Dewey-Humboldt, AZ, USA"
117,"Goodyear, Az., AZ, USA"
118,"Whitman, AZ, USA"
119,"Litchfieldpark, AZ, USA"
120,"Star Valley, AZ, USA"
121,"Winkleman, AZ, USA"
122,"Peoria, Az, AZ, USA"
123,"Showlow, AZ, USA"
124,"Spring Valley, AZ, USA"
125,"Chino, AZ, USA"
126,"Pirtville, AZ, USA"
127,"Dewey, Az, AZ, USA"
128,"Palo Verde, AZ, USA"
129,"Las Brisas, AZ, USA"
130,"Tempe Az., AZ, USA"
131,"Sun City West, Az, AZ, USA"
132,"Phoenix Az, AZ, USA"
133,"Black Canyon, AZ, USA"
134,"Hayden, AZ, USA"
135,"Wahweap - Seligman, AZ, USA"
136,"Blackcanyon Ci, AZ, USA"
137,"Black Canyon Ci, AZ, USA"
138,"Claypool, AZ, USA"
139,"Park, AZ, USA"
140,"Pheonix, AZ, USA"
141,"Sun City West,, AZ, USA"
142,"Arizona, AZ, USA"
143,"Prescott Valey, AZ, USA"
144,"Blackcanyoncity, AZ, USA"
145,"Schottsdale, AZ, USA"
146,"Phx., AZ, USA"
147,"Kearny, AZ, USA"
148,"Blk Canyon City, AZ, USA"
149,"Benson, AZ, USA"
150,"Phx, AZ, USA"
151,"Yucca, AZ, USA"
152,"Littlefield, AZ, USA"
153,"Blk Canyon Cty, AZ, USA"
154,"Kearney, AZ, USA"
155,"Precott, AZ, USA"
156,"Williams, Az, AZ, USA"
157,"Cornvile, AZ, USA"
158,"Litchfield, AZ, USA"
159,"Wenden, AZ, USA"
160,"Scottdale, AZ, USA"
161,"Prescott - Misc Towns, AZ, USA"
162,"Littlefield Park, AZ, USA"
163,"Dewey Humboldt, AZ, USA"
164,"San Luis Az, AZ, USA"
165,"Goodyear, Az, AZ, USA"
166,"Peoria,, AZ, USA"
167,"Sun City, Az, AZ, USA"
168,"Safford, AZ, USA"
169,"Carefree,, AZ, USA"
170,"Whittmann, AZ, USA"
171,"Phoenix, Az, AZ, USA"
172,"Scottsdale, Az, AZ, USA"
173,"Sun City Az, AZ, USA"
174,"Dewey-Humbolt, AZ, USA"
175,"San  Luis Az, AZ, USA"
176,"Rim Rock, AZ, USA"
177,"Surprise, Az, AZ, USA"
178,"Wickenberg, AZ, USA"
179,"Winkelman, AZ, USA"
180,"Surprise Arizon, AZ, USA"
181,"Casa Grande, Az, AZ, USA"
182,"Lake Havasu City, AZ, USA"
183,"Sedona`, AZ, USA"
184,"Coolige, AZ, USA"
185,"Tayor, AZ, USA"
186,"Picacho, AZ, USA"
187,"Cibola, AZ, USA"
188,"White Mountain, AZ, USA"
189,"Chine Valley, AZ, USA"
190,"Bullhead City, AZ, USA"
191,"Yuma Mesa, AZ, USA"
192,"Black Canyon Ct, AZ, USA"
193,"Az, AZ, USA"
194,"Whittman, AZ, USA"
195,"Arizona City,Az, AZ, USA"
196,"Goodyear,, AZ, USA"
197,"Morristown, Az, AZ, USA"
198,"Perioa, AZ, USA"
199,"Carefree, Az, AZ, USA"
200,"Arivaca, AZ, USA"
201,"Maricopa County, AZ, USA"
202,"Youngstown, AZ, USA"
203,"San Carlos, AZ, USA"
204,"Su City, AZ, USA"
205,"Quartzite, AZ, USA"
206,"Pima, AZ, USA"
207,"Sedona, Az, AZ, USA"
208,"Pirtleville, AZ, USA"
209,"Petrified Forst Natl Pk, AZ, USA"
210,"Whipple, AZ, USA"
211,"Petrified Forest Natl Pk, AZ, USA"
212,"Northern Az Univ, AZ, USA"
213,"Keams Canyon, AZ, USA"
214,"Desert Hot Springs, AZ, USA"
215,"Madison, CT, USA"
216,"Old Lyme, CT, USA"
217,"Barkhamsted, CT, USA"
218,"Milford, CT, USA"
219,"Westbrook, CT, USA"
220,"Washington Depot, CT, USA"
221,"Middlefield, CT, USA"
222,"Wolcott, CT, USA"
223,"Middletown, CT, USA"
224,"Sherman, CT, USA"
225,"New Milford, CT, USA"
226,"Oxford, CT, USA"
